Table S1. 5368 protein groups identified in pancreatic tissue.																									
Majority protein IDs	Protein names	Gene names	Mol. weight [kDa]	Sequence coverage [%]	Peptides	Unique peptides	Score	Q-value	HC_1 reporter ion intensity	HC_2 reporter ion intensity	HC_3 reporter ion intensity	HC_4 reporter ion intensity	HC_5 reporter ion intensity	T1D_1 reporter ion intensity	T1D_2 reporter ion intensity	T1D_3 reporter ion intensity	T1D_4 reporter ion intensity	T1D_5 reporter ion intensity	BCGA_microarray data_ductal cells	BCGA_microarray data_exocrine pancreas	BCGA_microarray data_pancreatic islets	BCGA_microarray data_primary beta cells	Identified in Kim et al (2014)_pancreas proteome researched by MaxQuant	Pancreas enriched proteinsa in Kim et al (2014)	Pancreas enriched proteins in Uhlén et al (2015)
P12821;A0A0A0MSN4;P12821-2;P12821-4;P12821-3;F6X3S4	Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form	ACE	149.71	8.8	12	12	17.156	0	42034	49502	62933	44388	61079	37186	50042	51743	36675	49618	Moderate	Moderate	Low	Low	YES		
P12931;P12931-2	Proto-oncogene tyrosine-protein kinase Src	SRC	59.834	17.5	8	6	29.606	0	40307	41624	38764	37433	45439	27828	34158	34308	17559	36067	Low	Low	Low	Moderate	YES		
P12955-3;P12955;P12955-2	Xaa-Pro dipeptidase	PEPD	47.261	22.4	9	9	29.595	0	41400	31910	30233	48310	37052	38159	33965	43621	21103	40225	Enriched	Enriched	Enriched	Moderate	YES		
P12956;B1AHC9;P12956-2	X-ray repair cross-complementing protein 6	XRCC6	69.842	49.9	71	71	323.31	0	570500	295440	389750	562670	362230	605490	603280	1002000	223420	640710	Enriched	Enriched	Enriched	Enriched	YES		
P13010	X-ray repair cross-complementing protein 5	XRCC5	82.704	38.4	55	55	152.43	0	246440	183920	223980	231790	237670	310160	488320	484160	201160	330840	Enriched	Enriched	Enriched	Enriched	YES		
P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4I1	19.576	43.8	17	17	171.97	0	113040	68473	73172	139240	81274	113560	117900	177160	101630	179790	Enriched	Enriched	Enriched	Enriched	YES		
P13284	Gamma-interferon-inducible lysosomal thiol reductase	IFI30	27.963	9.2	2	2	3.0833	0.0011377	4765.3	9833.5	6236.6	8795.9	8098.9	4159.4	5346.9	4911.8	3477.7	4878.8	Enriched	Enriched	Enriched	Enriched	YES		
P13473-2;P13473;P13473-3	Lysosome-associated membrane glycoprotein 2	LAMP2	44.955	7.3	5	5	10.03	0	17977	11324	13977	12030	14887	19352	23551	37892	7138.7	14145	Enriched	Enriched	Enriched	Enriched	YES		
P13489	Ribonuclease inhibitor	RNH1	49.973	44.9	31	31	176.02	0	169910	124080	135900	176240	161710	131570	160390	136530	105980	136420	Moderate	Enriched	Enriched	Moderate	YES		
P13498	Cytochrome b-245 light chain	CYBA	21.012	12.3	2	2	4.7618	0.00043169	8142.5	8127.1	7708.6	8379.8	8404.8	6229.2	8691.7	11579	5462.4	9924.7	Moderate	Moderate	Enriched	Moderate			
P13521	Secretogranin-2;Secretoneurin	SCG2	70.94	23.2	13	13	29.066	0	69437	80136	120150	72690	111860	56523	72365	49857	51094	70674	Low	Low	Enriched	Enriched	YES		
P13639	Elongation factor 2	EEF2	95.337	54.5	142	142	323.31	0	1253400	894720	975700	1181000	1138600	1351500	1600200	1458700	783490	1116400	No expression	Enriched	Enriched	Enriched	YES		
P13667	Protein disulfide-isomerase A4	PDIA4	72.932	66.2	140	137	323.31	0	1442400	1082300	1508100	1232300	1907600	1745000	1724200	1504800	785120	1312700	Enriched	Enriched	Enriched	Enriched	YES		
P13671	Complement component C6	C6	104.79	17.2	14	14	162.78	0	43294	44249	48092	52657	43895	73396	59436	112400	37143	72832	Enriched	Enriched	Enriched	Enriched	YES		
P13674-3;P13674-2;P13674	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	58.957	6	3	3	5.5237	0	7713.6	8218	7885.6	7823	9426.1	5736	7174.6	7584.3	3487.7	7211.9	Enriched	Enriched	Enriched	Moderate	YES		
P13693;Q5W0H4;J3KPG2;P13693-2;E9PJF7	Translationally-controlled tumor protein	TPT1	19.595	41.3	25	21	137.6	0	195500	124820	166980	172470	201290	281060	280470	187730	169450	201630	Enriched	Enriched	Enriched	Enriched	YES		
P13716;P13716-2;B7ZBK6	Delta-aminolevulinic acid dehydratase	ALAD	36.294	38.5	18	18	94.244	0	82202	46050	50300	51395	58266	60713	69309	55892	31193	59356	Enriched	Enriched	Enriched	Low	YES		
P13761;Q9TQE0;Q30167;Q30154;Q30134;Q29974;P79483;P20039;P13760;P04229	HLA class II histocompatibility antigen, DRB1-7 beta chain;HLA class II histocompatibility antigen, DRB1-9 beta chain;HLA class II histocompatibility antigen, DRB1-10 beta chain;HLA class II histocompatibility antigen, DR beta 5 chain;HLA class II histoco	HLA-DRB1;HLA-DRB5;HLA-DRB3	29.822	7.5	2	2	3.0672	0.0011366	9123.3	7987.3	11490	7880.4	13662	7264.2	12181	9724.2	6362.8	21153	Enriched	Enriched	Enriched	No expression			
P13796	Plastin-2	LCP1	70.288	38.4	30	23	128.54	0	80705	82958	78781	122950	74022	75847	115080	224880	71111	107450	Moderate	Low	Moderate	Low	YES		
P13797;A0A0A0MSQ0;P13797-3;P13797-2;F8W8D8	Plastin-3	PLS3	70.81	42.2	42	31	314.41	0	233670	199700	192980	292450	237210	296200	269440	390040	129120	281740	Moderate	Enriched	Enriched	Moderate	YES		
P13804;P13804-2;H0YL12;H0YK49;H0YLU7;H0YNX6	Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA	35.079	43.8	26	5	323.31	0	172560	117130	134450	122350	158130	173770	178760	190980	92723	200820	Moderate	Enriched	Enriched	Moderate	YES		
P13861-2;P13861	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A	43.066	63.6	41	34	323.31	0	179260	119970	159150	189640	172950	196850	242000	240390	125980	201710	Enriched	Enriched	Enriched	Low	YES		
P13984	General transcription factor IIF subunit 2	GTF2F2	28.38	7.6	2	2	3.601	0.00079523	13457	23545	22299	9923.3	25126	3272.3	7990.1	8935.3	6009.2	9543.3	Low	No expression	Moderate	Low	YES		
P14174	Macrophage migration inhibitory factor	MIF	12.476	53	26	26	102.03	0	179700	150330	162380	188890	187660	193410	190620	171300	102910	163610	Enriched	Enriched	Enriched	Enriched	YES		
P14209;A0A096LP69;P14209-3	CD99 antigen	CD99	18.848	22.7	6	6	105.63	0	52641	55528	57941	31625	101050	41835	55080	36292	29822	28666	Enriched	Enriched	Enriched	Enriched	YES		
P14324-2;P14324;A0A087X1D8;A0A087WVN4	Farnesyl pyrophosphate synthase	FDPS	40.532	14.4	7	7	25.86	0	73281	73143	68739	61716	92919	68753	81644	84812	48656	85802	Enriched	Enriched	Enriched	Enriched	YES		
P14543;P14543-2	Nidogen-1	NID1	136.38	32.9	73	72	323.31	0	319740	234260	287510	377430	311140	343630	413880	482470	205610	443740	Low	Low	Moderate	Enriched	YES		
P14550	Alcohol dehydrogenase [NADP(+)]	AKR1A1	36.573	60	44	27	206.43	0	224310	157240	179120	223960	199440	210910	501840	324830	228650	232920	Enriched	Enriched	Enriched	Enriched	YES		
P14555	Phospholipase A2, membrane associated	PLA2G2A	16.083	25.7	7	7	19.006	0	19246	21151	21161	18481	27850	22011	36062	200250	20113	35021	Moderate	Low	Moderate	Low	YES		
P14618;P14618-3;P14618-2;B4DNK4;H3BTN5;H3BR70	Pyruvate kinase PKM;Pyruvate kinase	PKM	57.936	65.3	97	97	323.31	0	692700	523080	624500	801950	764150	752760	972360	1029600	445060	691340					YES		
P14625	Endoplasmin	HSP90B1	92.468	66.6	204	193	323.31	0	2183100	1527300	1792400	1971100	2097100	2548300	2542500	2665000	1075800	2142000	Low	Enriched	Enriched	Low	YES		
P14735	Insulin-degrading enzyme	IDE	117.97	19.8	23	23	63.009	0	105550	74899	79520	97883	121110	109560	97920	122200	40372	106340	Moderate	Enriched	Enriched	Low	YES		
P14854	Cytochrome c oxidase subunit 6B1	COX6B1	10.192	70.9	13	13	25.179	0	58357	38884	42841	74750	45887	66277	76795	71622	32720	68724	Enriched	Enriched	Enriched	Moderate	YES		
P14866;M0QXS5;P14866-2	Heterogeneous nuclear ribonucleoprotein L	HNRNPL	64.132	34	29	13	102.47	0	155010	102630	140220	126570	164050	151270	220440	166220	160760	167370	Enriched	Enriched	Enriched	Enriched	YES		
P14868;P14868-2	Aspartate--tRNA ligase, cytoplasmic	DARS	57.136	50.5	37	37	323.31	0	221960	161920	170130	184540	185800	242120	241870	233440	123460	227410	Enriched	Enriched	Enriched	Moderate	YES		
P14923	Junction plakoglobin	JUP	81.744	33.6	37	25	154.28	0	91707	65207	78275	83551	88315	57876	81871	81270	47945	83647	Enriched	Enriched	Enriched	Moderate	YES		
P14927;B7Z2R2;P14927-2	Cytochrome b-c1 complex subunit 7	UQCRB	13.53	40.5	11	4	53.745	0	98651	72836	91073	98043	92657	153070	82736	99905	33675	104990	Enriched	Enriched	Enriched	Enriched	YES		
P15085;C9JUF9;C9JUZ4	Carboxypeptidase A1	CPA1	47.14	64.2	126	123	323.31	0	1986900	1575100	1414700	1987400	1591300	1890200	1820800	1691200	1000700	1382600	No expression	Enriched	Enriched	Enriched	YES	YES	YES
P15086	Carboxypeptidase B	CPB1	47.367	69.1	123	111	323.31	0	1678400	1588800	1323900	1552000	1774800	1171600	1424200	966700	784290	940740	Moderate	Enriched	Enriched	Enriched	YES	YES	YES
P15088	Mast cell carboxypeptidase A	CPA3	48.669	17.7	12	12	48.238	0	107990	45118	74173	94421	39922	51773	103720	95934	45868	92384	Low	Enriched	Moderate	Moderate	YES		
P15090	Fatty acid-binding protein, adipocyte	FABP4	14.719	56.1	20	20	301.33	0	60096	80643	54088	98655	57977	108440	116800	97391	136230	197410	Low	Low	Moderate	Low	YES		
P15104	Glutamine synthetase	GLUL	42.064	14.7	6	6	11.453	0	14317	13488	15640	19664	15653	25106	48950	17086	38813	27273	Enriched	Enriched	Enriched	Enriched	YES		
P15121;E9PCX2	Aldose reductase	AKR1B1	35.853	37.7	18	18	129.6	0	148160	71630	76420	93657	86373	202090	278680	182460	130520	168830	Moderate	Enriched	Enriched	Enriched	YES		
P15144	Aminopeptidase N	ANPEP	109.54	32.5	41	41	145.64	0	244030	262570	192800	236590	279570	225610	183690	199750	109960	228370	Enriched	Enriched	Enriched	Enriched	YES		
P15170-2;P15170-3;H3BR35;P15170	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	GSPT1	68.6	31	24	12	140.74	0	130990	99506	109430	109060	135310	137020	171400	142360	84323	137510	Enriched	Enriched	Enriched	Low			
P15259	Phosphoglycerate mutase 2	PGAM2	28.766	31.2	21	2	5.0626	0.00044024	3402.4	3043.1	3709.2	3111.5	5700.4	2765.8	6158.9	2918.8	4083.8	4474	Moderate	No expression	No expression	No expression			
P15289;P15289-2	Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C	ARSA	53.588	8.9	5	5	8.2501	0	11797	10130	11626	15199	12084	15351	12984	15218	8425.3	14922	Low	Moderate	Moderate	Moderate	YES		
P15374;A0A087WTB8	Ubiquitin carboxyl-terminal hydrolase isozyme L3	UCHL3	26.182	49.1	19	19	104.46	0	97755	84821	113770	70398	119120	98877	95673	79938	51553	90988	Low	Enriched	Enriched	Moderate	YES		
P15529-16;P15529-7;P15529-4;P15529-6;P15529-3;P15529-5;P15529-2;P15529-15;P15529-9;P15529-12;P15529-14;P15529-8;P15529-11;P15529-13;P15529-10;P15529	Membrane cofactor protein	CD46	36.826	11.6	6	6	11.052	0	14953	9859.5	12963	16652	16910	14758	26504	25358	14512	17683	Low	Enriched	Enriched	Enriched	YES		
P15531;P15531-2;E5RHP0	Nucleoside diphosphate kinase A	NME1	17.149	63.8	19	2	35.837	0	14200	11841	13512	10116	15917	15367	15571	21040	4900.8	13962	Moderate	Enriched	Enriched	Moderate	YES		
P15848-2;P15848	Arylsulfatase B	ARSB	45.995	2.4	1	1	2.7901	0.0022193	3729.6	3693.8	4658.3	2746.1	6191.1	4595	6947.6	4784.1	5704.9	6501.5	No expression	No expression	Moderate	No expression			
P15880;H0YEN5;E9PMM9;E9PQD7;I3L404;E9PPT0	40S ribosomal protein S2	RPS2	31.324	51.2	32	32	146.67	0	397350	218490	276580	401710	280210	277790	396320	460120	164030	334020	Enriched	Enriched	Enriched	Enriched	YES		
P15924;P15924-3;P15924-2	Desmoplakin	DSP	331.77	38.3	163	160	323.31	0	748430	579140	660450	731020	765480	689420	884290	713500	550440	744200	Enriched	Enriched	Enriched	Enriched	YES		
P15927;P15927-2;P15927-3;Q5TEJ0	Replication protein A 32 kDa subunit	RPA2	29.247	10.7	5	5	11.947	0	9940.1	11761	10449	9364.3	13254	6666.2	6247.8	6939.8	3507.9	6790.5	Moderate	Enriched	Enriched	Moderate	YES		
P16035;B4DFW2	Metalloproteinase inhibitor 2	TIMP2	24.399	20	3	3	7.9981	0	19757	20111	26247	23431	24957	15324	16340	18588	10514	16563	Enriched	Enriched	Enriched	Enriched	YES		
P16104;Q96QV6;Q8IUE6	Histone H2AX;Histone H2A type 1-A;Histone H2A type 2-B	H2AFX;HIST1H2AA;HIST2H2AB	15.144	46.2	21	10	150.36	0	75226	53728	64506	52388	77593	64729	197190	116270	105260	120410	Enriched	Moderate	Enriched	No expression			
P16144-4;P16144-2;P16144-3;P16144;P16144-5	Integrin beta-4	ITGB4	194.46	15	24	24	67.509	0	59538	49465	68395	69026	65807	58966	50313	51624	29718	70714	Enriched	Moderate	Moderate	No expression	YES		
P16152;E9PQ63;A8MTM1;P16152-2	Carbonyl reductase [NADPH] 1	CBR1	30.375	43.7	28	21	286.56	0	115850	99217	103270	136670	124800	124020	110140	176240	73649	106880	Moderate	Moderate	Enriched	Low	YES		
P16219;E9PE82	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADS	44.297	32.5	17	17	45.336	0	56770	43504	48526	60826	50964	81435	94366	81029	53699	90322	Enriched	Moderate	Moderate	Moderate	YES		
P16220-3;P16220-2;P16220;C9J4L5;C9JBT4;H7C3I0;E7EWP8;C9J896	Cyclic AMP-responsive element-binding protein 1	CREB1	25.444	10.4	3	3	33.323	0	12616	13746	14454	10812	14361	15564	34661	27943	22572	22283	Moderate	Enriched	Enriched	Moderate			
P16233	Pancreatic triacylglycerol lipase	PNLIP	51.156	53.8	108	101	323.31	0	1803700	1843300	1160700	1734100	1526900	1559400	1762300	947920	677140	1050500	Enriched	Enriched	Enriched	Enriched	YES	YES	YES
P16278-3;P16278;E7EQ29;P16278-2	Beta-galactosidase	GLB1	72.75	13.4	9	9	22.012	0	16526	14780	10102	11265	16008	9896.7	7570.2	11379	3339.3	10503	Moderate	Enriched	Enriched	Enriched	YES		
P16284-5;P16284-3;P16284-4;P16284-6;P16284;A0A075B738;P16284-2	Platelet endothelial cell adhesion molecule	PECAM1	79.26	20.6	15	15	74.1	0	15175	9802.6	11886	17770	12931	33153	19323	17615	9999.6	24746	Enriched	Enriched	Enriched	Enriched	YES		
Q5F2F8;P16298-2;P16298-3;P16298;P16298-4	Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	PPP3CB	56.014	14.7	6	2	33.304	0	8108.7	7139.6	7214.8	11810	5549.8	7983.8	7975.1	10377	4294.1	9368.4	Enriched	Enriched	Enriched	Enriched	YES		
P16401	Histone H1.5	HIST1H1B	22.58	24.8	11	6	55.054	0	41358	33029	46267	34861	34378	27174	44987	105310	26257	42218	Low	No expression	No expression	No expression	YES		
P16402	Histone H1.3	HIST1H1D	22.35	25.8	28	1	1.9513	0.0079905	6402.1	9012.5	11352	5567.6	8246.6	8521	10652	17838	4514	9681.7	No expression	Low	Low	Low	YES		
P16403	Histone H1.2	HIST1H1C	21.364	44.6	33	5	10.032	0	28093	26700	27790	18682	30183	17659	18849	27861	11399	23066	Low	Enriched	Enriched	No expression	YES		
P16435;H0Y4R2;E7EMD0	NADPH--cytochrome P450 reductase	POR	76.689	18.9	12	12	34.873	0	51078	46288	46533	54135	51891	63452	52351	65375	28717	58112	No expression	Moderate	Moderate	Low	YES		
P16444	Dipeptidase 1	DPEP1	45.673	32.8	26	26	97.513	0	191740	111510	164340	227400	109690	245730	255840	161510	94425	161450	Moderate	Enriched	Enriched	Enriched	YES		
P16455	Methylated-DNA--protein-cysteine methyltransferase	MGMT	21.646	41.5	7	7	19.875	0	31269	19796	21485	34591	28991	14725	15049	16587	9232.2	24612	Low	Moderate	Moderate	Moderate	YES		
P16519-3;P16519;P16519-2	Neuroendocrine convertase 2	PCSK2	68.579	11.5	9	9	58.229	0	29658	27023	24272	27050	26313	18012	25301	20027	33632	31358	Low	Low	Enriched	Low	YES		
P16615;P16615-5;P16615-2;P16615-3;P16615-4;H7C5W9	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	114.76	28.6	48	30	281.45	0	341280	208100	260730	322910	278990	385210	384750	409780	179640	329570	Enriched	Enriched	Enriched	Enriched	YES		
P16870-2;P16870	Carboxypeptidase E	CPE	49.885	38.9	17	17	94.613	0	70576	65626	96128	64509	91035	45944	60435	45768	69155	58907	Low	Moderate	Enriched	Enriched	YES		
P16930;P16930-2	Fumarylacetoacetase	FAH	46.374	25.1	16	16	36.855	0	81840	54103	70010	74805	69668	79952	91419	95577	48470	80546	Moderate	Low	Moderate	Low	YES		
P16949;A2A2D0;P16949-2	Stathmin	STMN1	17.302	22.8	4	2	9.9382	0	6378.8	7738.9	7519.4	5688.1	6801.6	5667.1	7453.5	7014.2	7856.5	9819.9	Enriched	Moderate	Moderate	Enriched	YES		
P16989-2;P16989;P16989-3	Y-box-binding protein 3	YBX3	31.947	42.9	23	15	282.8	0	110770	80052	104790	89879	127920	76879	123710	120310	54433	94684					YES		
P17026	Zinc finger protein 22	ZNF22	25.915	26.8	6	3	14.646	0	42336	24188	33809	25666	43259	40245	32403	25782	19562	33752	Moderate	Enriched	Enriched	Moderate	YES		
P17028	Zinc finger protein 24	ZNF24	42.155	6	3	2	7.0649	0	9558.7	5620.6	4523.7	10519	4601.3	5599.1	7067.9	6707.9	5670.8	9671.3	Enriched	Enriched	Enriched	Enriched	YES		
P17050	Alpha-N-acetylgalactosaminidase	NAGA	46.564	10.2	5	5	10.34	0	34396	29139	33151	24991	33371	35259	38820	52493	23756	47474	Enriched	Moderate	Enriched	Moderate	YES		
P17066	Heat shock 70 kDa protein 6	HSPA6	71.027	26	43	3	14.197	0	22874	19339	22086	19518	35244	21241	35455	46700	10550	18417	Moderate	Low	Enriched	Low			
P17096;P17096-3	High mobility group protein HMG-I/HMG-Y	HMGA1	11.676	33.6	4	4	15.992	0	18645	12202	16407	16140	19644	16827	26776	15691	13216	15792	Low	Enriched	Enriched	Low	YES		
P17152	Transmembrane protein 11, mitochondrial	TMEM11	21.541	13.5	5	5	10.968	0	15191	17440	29738	13111	22742	17651	32603	20082	20523	24822	Enriched	Moderate	Enriched	Moderate	YES		
P17174;P17174-2	Aspartate aminotransferase, cytoplasmic	GOT1	46.247	49.6	36	36	131.55	0	156990	104760	132430	175320	134630	191820	184980	220510	94745	176030	Enriched	Moderate	Enriched	Enriched	YES		
P17252;J3KRN5	Protein kinase C alpha type	PRKCA	76.749	15.6	9	6	32.957	0	37728	30642	39818	32220	46981	40426	66077	45274	36623	43201	Enriched	Moderate	Enriched	Moderate	YES		
P17480;E9PKP7;P17480-2	Nucleolar transcription factor 1	UBTF	89.405	17.7	17	17	78.398	0	99437	60181	69787	93883	74572	80224	76213	102460	51970	105540	Enriched	Enriched	Enriched	Enriched	YES		
P17568	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	NDUFB7	16.402	12.4	2	2	2.693	0.0023792	12891	11663	11332	9330.3	14960	10564	12567	10918	5843	11728	No expression	Low	Enriched	Enriched	YES		
P17612-2;P17612;Q15136;K7ERP6	cAMP-dependent protein kinase catalytic subunit alpha	PRKACA;KIN27	39.821	42.3	14	6	43.072	0	60363	53141	61946	63188	63491	56288	70920	80505	36461	64834	Enriched	Enriched	Enriched	Moderate	YES		
P17655;P17655-2	Calpain-2 catalytic subunit	CAPN2	79.994	30.7	21	20	100.71	0	99041	61371	76612	99093	94404	136760	124210	142980	60155	126510	Enriched	Enriched	Enriched	Enriched	YES		
P17661	Desmin	DES	53.535	24.7	21	11	124.22	0	36319	61931	35193	28918	53797	40522	42949	39792	22869	62683	Enriched	No expression	Low	Low	YES		
P17677;P17677-2	Neuromodulin	GAP43	24.802	23.1	3	3	9.8077	0	9001.4	6701.9	10215	6258.7	12452	6861.4	11158	8529.9	6774.2	13573	Enriched	Moderate	Moderate	Enriched	YES		
P17812;P17812-2	CTP synthase 1	CTPS1	66.69	7.3	6	4	5.0842	0.00044121	1285.7	1845.4	2016.1	1537.4	1675.7	1686.9	2222.3	1998.8	1102.6	1956.6					YES		
P17844;J3KTA4;P17844-2	Probable ATP-dependent RNA helicase DDX5	DDX5	69.147	30.9	27	13	23.428	0	50587	37061	41564	55926	45447	40496	38915	39136	17328	46158	No expression	Enriched	Enriched	Enriched	YES		
P17858;P17858-2	ATP-dependent 6-phosphofructokinase, liver type	PFKL	85.018	22.3	24	20	284.28	0	115610	83906	80236	112780	95234	122090	201410	180770	70817	129410	Enriched	Enriched	Enriched	Enriched	YES		
P17900	Ganglioside GM2 activator;Ganglioside GM2 activator isoform short	GM2A	20.838	23.8	7	7	18.684	0	20204	10108	15240	29899	11295	40986	19912	32342	12130	25966	Enriched	Enriched	Enriched	Enriched	YES		
P17931	Galectin-3	LGALS3	26.152	34.8	17	17	58.461	0	161060	104990	124920	191320	125210	151700	257150	284110	107140	189150	Enriched	Enriched	Enriched	Moderate	YES		
R4GNH3;P17980;E9PM69;E9PMD8;E9PKD5;E9PN50	26S protease regulatory subunit 6A	PSMC3	47.352	49.4	31	31	155.35	0	274650	205350	244250	237930	257490	253210	302850	252130	150790	250860	Moderate	Moderate	Enriched	Enriched	YES		
P17987;E7EQR6;E7ERF2;F5H282	T-complex protein 1 subunit alpha	TCP1	60.343	43.7	42	35	148.25	0	201630	146050	174530	186220	191950	227320	278660	328500	125810	217450	Moderate	Enriched	Enriched	Enriched	YES		
P18031	Tyrosine-protein phosphatase non-receptor type 1	PTPN1	49.966	9	5	5	7.6978	0	4703.9	5246.6	6296.5	5607.7	16367	4576.1	6154.1	5083.1	2667.5	4476.9	Enriched	Moderate	Enriched	Moderate	YES		
P18065	Insulin-like growth factor-binding protein 2	IGFBP2	34.814	24.6	8	8	22.986	0	64703	80438	58309	67116	78409	53555	41145	35319	24237	42761	No expression	Enriched	Enriched	Moderate	YES		
P18084;V9GZ57;H7C5U2	Integrin beta-5;Integrin beta	ITGB5	88.053	6.1	3	3	17.394	0	30114	17431	24263	36900	20554	34964	30356	32344	12344	36002	Enriched	Enriched	Enriched	Enriched	YES		
P18085;C9JPM4;C9JAK5	ADP-ribosylation factor 4	ARF4	20.511	63.9	32	12	68.041	0	107510	48448	49988	137330	66713	100320	87447	189660	36920	117040	Enriched	Enriched	Enriched	Enriched	YES		
P18124;A8MUD9	60S ribosomal protein L7	RPL7	29.225	51.2	37	37	239.61	0	255050	156340	176440	247780	239680	256150	221310	203970	95440	183800	Enriched	Enriched	Enriched	Enriched	YES		
P18206-2;P18206;Q5JQ13	Vinculin	VCL	116.72	60	120	120	323.31	0	446680	389190	416560	419730	446060	569720	928550	905850	413250	635760	Enriched	Enriched	Enriched	Enriched	YES		
P18428	Lipopolysaccharide-binding protein	LBP	53.383	14.6	9	9	13.614	0	6693.5	5501.7	10114	11353	5285.9	5617.7	5132.9	13707	3059.9	9708.3	Enriched	Moderate	Moderate	Enriched	YES		
P18583-2;P18583-10;P18583-4;P18583-7;P18583;P18583-5;P18583-9;P18583-3;P18583-6;H7C1M2	Protein SON	SON	232.3	5.7	11	11	33.938	0	25825	27488	30781	25038	35403	22928	25324	24241	16692	25681	Enriched	Enriched	Enriched	Enriched	YES		
P18615;P18615-3;P18615-4;A0A0A0MT02;A0A0A0MSN9	Negative elongation factor E	NELFE	43.239	24.7	7	7	23.208	0	26309	18373	23286	22858	24435	24675	28642	27005	18257	29657					YES		
P18669;Q8N0Y7	Phosphoglycerate mutase 1;Probable phosphoglycerate mutase 4	PGAM1;PGAM4	28.804	65.7	42	23	296.43	0	427190	282640	304940	367980	362210	383420	496710	474190	270510	392830	Enriched	Enriched	Enriched	Enriched			
P18827	Syndecan-1	SDC1	32.461	3.9	1	1	4.1226	0.00062138	1732.1	1694.1	1711	1329.7	2291.3	1321.8	2456.8	1426.1	3930.9	2227.1	Enriched	Enriched	Enriched	Enriched	YES		
P18859;P18859-2;A8MUH2	ATP synthase-coupling factor 6, mitochondrial	ATP5J	12.587	55.6	19	19	323.31	0	151730	143500	169480	127710	218830	118260	132210	138560	56482	142290	Enriched	Enriched	Enriched	Moderate	YES		
P19021-2;P19021-4;P19021-3;P19021-6;P19021;P19021-5;H7BYD9	Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase	PAM	96.257	4.5	4	4	6.7359	0	23215	20328	26769	17049	29103	17393	24851	15338	19866	16437	Enriched	Enriched	Enriched	Enriched	YES		
P19075	Tetraspanin-8	TSPAN8	26.044	14.3	6	6	20.533	0	9425.4	7645.7	11115	7590.6	10346	22020	47753	20456	29622	25822	Enriched	Enriched	Enriched	Enriched	YES		
P19320-2;P19320-3;P19320	Vascular cell adhesion protein 1	VCAM1	71.254	2.3	1	1	4.0129	0.0006169	6988.6	5477.3	5181.9	6904.2	7031.7	6893.4	8310.7	19582	4211.2	8308.1	Moderate	Enriched	Enriched	Low	YES		
P19338;H7BY16	Nucleolin	NCL	76.613	38.2	78	78	323.31	0	761400	512500	673820	671950	736090	662850	1008800	996980	477960	843970	Enriched	Enriched	Enriched	Enriched	YES		
P19367-4;P19367-2;P19367;P19367-3	Hexokinase-1	HK1	101.08	13.6	12	10	22.762	0	43128	43314	52662	44342	54245	45309	60242	67718	24452	63504	Enriched	Enriched	Enriched	No expression	YES		
P19387	DNA-directed RNA polymerase II subunit RPB3	POLR2C	31.441	24	7	7	14.67	0	14532	12376	14428	11424	18483	11003	15017	12164	8083.5	11721	Enriched	Enriched	Enriched	Enriched	YES		
P19440;E7ET76;P19440-2;A6NGU5	Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light	GGT1;GGT3P	61.409	14.8	10	10	19.827	0	39336	34928	38005	36414	42253	28058	35595	31496	25805	29034	Enriched	Enriched	Enriched	Enriched			
P19474	E3 ubiquitin-protein ligase TRIM21	TRIM21	54.169	6.9	3	3	5.1125	0.00044179	3846.5	2901.1	3592.2	8034.6	4044.6	4953.8	5695.9	5689.6	5826.7	6260.1	Moderate	Enriched	Moderate	Moderate	YES		
P19525;P19525-2	Interferon-induced, double-stranded RNA-activated protein kinase	EIF2AK2	62.094	9.6	6	6	20.461	0	50520	39927	41077	35980	53251	33021	28959	37326	16017	34299	Moderate	Low	Enriched	Enriched	YES		
P19526	Galactoside 2-alpha-L-fucosyltransferase 1	FUT1	41.251	3.8	1	1	1.8113	0.0099027	6720.3	4526.9	5710.6	7266	6145.3	7423.6	8963.4	6727.9	6701.7	7037.2	Moderate	Enriched	Moderate	Enriched			
